Código,Descripción,GRUPO,Clasificación Sistemas JMC,SEGMENTO,Clasificación Partes JMC,TIPO
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,19.0,3.0,26.0,51.0,13.0
A150,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",41.0,11.0,38.0,80.0,13.0
A151,"TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO",41.0,11.0,38.0,80.0,13.0
A152,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE",41.0,11.0,38.0,80.0,13.0
A153,"TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS",41.0,11.0,38.0,80.0,13.0
A154,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",41.0,11.0,42.0,39.0,13.0
A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",41.0,11.0,23.0,47.0,13.0
A156,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",41.0,11.0,38.0,77.0,13.0
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",41.0,11.0,38.0,80.0,13.0
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE",41.0,11.0,38.0,80.0,13.0
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE",41.0,11.0,38.0,80.0,13.0
A160,"TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS",41.0,11.0,38.0,80.0,13.0
A161,"TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO",41.0,11.0,38.0,80.0,13.0
A162,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",41.0,11.0,38.0,80.0,13.0
A163,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",41.0,11.0,42.0,39.0,13.0
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",41.0,11.0,23.0,47.0,13.0
A165,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA",41.0,11.0,38.0,77.0,13.0
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA",41.0,11.0,38.0,80.0,13.0
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION",41.0,11.0,38.0,80.0,13.0
A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",41.0,11.0,38.0,80.0,13.0
A170,MENINGITIS TUBERCULOSA (G01*),41.0,7.0,31.0,88.0,13.0
A171,TUBERCULOMA MENINGEO (G07*),41.0,7.0,31.0,88.0,13.0
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,41.0,7.0,31.0,88.0,13.0
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)",41.0,7.0,31.0,88.0,13.0
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,41.0,9.0,35.0,47.0,13.0
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,41.0,12.0,43.0,47.0,13.0
A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,41.0,1.0,25.0,47.0,13.0
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS",41.0,3.0,26.0,51.0,13.0
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,41.0,2.0,36.0,47.0,13.0
A185,TUBERCULOSIS DEL OJO,41.0,10.0,4.0,66.0,13.0
A186,TUBERCULOSIS DEL OIDO,41.0,11.0,4.0,65.0,13.0
A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*),41.0,2.0,36.0,75.0,13.0
A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,41.0,11.0,23.0,47.0,13.0
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,41.0,11.0,38.0,80.0,13.0
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,41.0,11.0,38.0,80.0,13.0
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",41.0,11.0,38.0,80.0,13.0
A198,OTRAS TUBERCULOSIS MILIARES,41.0,11.0,38.0,80.0,13.0
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",41.0,11.0,38.0,80.0,13.0
A200,PESTE BUBONICA,24.0,10.0,23.0,47.0,13.0
A201,PESTE CELULOCUTANEA,24.0,10.0,23.0,47.0,13.0
A202,PESTE NEUMONICA,24.0,10.0,23.0,47.0,13.0
A203,MENINGITIS POR PESTE,24.0,7.0,24.0,48.0,13.0
A207,PESTE SEPTICEMICA,24.0,10.0,23.0,47.0,13.0
A208,OTRAS FORMAS DE PESTE,24.0,10.0,23.0,47.0,13.0
A209,"PESTE, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A210,TULAREMIA ULCEROGLANDULAR,24.0,10.0,23.0,47.0,13.0
A211,TULAREMIA OCULOGLANDULAR,24.0,10.0,23.0,47.0,13.0
A212,TULAREMIA PULMONAR,24.0,10.0,38.0,80.0,13.0
A213,TULAREMIA GASTROINTESTINAL,24.0,10.0,23.0,47.0,13.0
A217,TULAREMIA GENERALIZADA,24.0,10.0,23.0,47.0,13.0
A218,OTRAS FORMAS DE TULAREMIA,24.0,10.0,23.0,47.0,13.0
A219,"TULAREMIA , NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A220,CARBUNCO CUTANEO,24.0,10.0,23.0,47.0,13.0
A221,CARBUNCO PULMONAR,24.0,10.0,38.0,80.0,13.0
A222,CARBUNCO GASTROINTESTINAL,24.0,10.0,23.0,47.0,13.0
A227,CARBUNCO SEPTICEMICO,24.0,10.0,23.0,47.0,13.0
A228,OTRAS FORMAS DE CARBUNCO,24.0,10.0,23.0,47.0,13.0
A229,"CARBUNCO, NO ESPECIFICADO",24.0,10.0,23.0,47.0,13.0
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,24.0,10.0,23.0,47.0,13.0
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,24.0,10.0,23.0,47.0,13.0
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,24.0,10.0,23.0,47.0,13.0
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,24.0,10.0,23.0,47.0,13.0
A238,OTRAS BRUCELOSIS,24.0,10.0,23.0,47.0,13.0
A239,"BRUCELOSIS, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A240,MUERMO,24.0,10.0,23.0,47.0,13.0
A241,MELIOIDOSIS AGUDA Y FULMINANTE,24.0,10.0,23.0,47.0,13.0
A242,MELIOIDOSIS SUBAGUDA Y CRONICA,24.0,10.0,23.0,47.0,13.0
A243,OTRAS MELIOIDOSIS,24.0,10.0,23.0,47.0,13.0
A244,"MELIOIDOSIS , NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A250,ESPIRILOSIS,24.0,10.0,23.0,47.0,13.0
A251,ESTREPTOBACILOSIS,24.0,10.0,23.0,47.0,13.0
A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A260,ERISIPELOIDE CUTANEO,24.0,10.0,23.0,47.0,13.0
A267,SEPTICEMIA POR ERYSIPELOTHRIX,24.0,10.0,23.0,47.0,13.0
A268,OTRAS FORMAS DE ERISIPELOIDE,24.0,10.0,23.0,47.0,13.0
A269,"ERISIPELOIDE, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A270,LEPTOSPIROSIS ICTEROHEMORRAGICA,24.0,10.0,23.0,47.0,13.0
A278,OTRAS FORMAS DE LEPTOSPIROSIS,24.0,10.0,23.0,47.0,13.0
A279,"LEPTOSPIROSIS, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A280,PASTEURELOSIS,24.0,10.0,23.0,47.0,13.0
A281,ENFERMEDAD POR RASGUÑO DE GATO,24.0,10.0,23.0,47.0,13.0
A282,YERSINIOSIS EXTRAINTESTINAL,24.0,10.0,23.0,47.0,13.0
A288,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE",24.0,10.0,23.0,47.0,13.0
A289,"ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION",24.0,10.0,23.0,47.0,13.0
A300,LEPRA INDETERMINADA,24.0,2.0,23.0,47.0,13.0
A301,LEPRA TUBERCULOIDE,24.0,2.0,23.0,47.0,13.0
A302,LEPRA TUBERCULOIDE LIMITROFE,24.0,2.0,23.0,47.0,13.0
A303,LEPRA LIMITROFE,24.0,2.0,23.0,47.0,13.0
A304,LEPRA LEPROMATOSA LIMITROFE,24.0,2.0,23.0,47.0,13.0
A305,LEPRA LEPROMATOSA,24.0,2.0,23.0,47.0,13.0
A308,OTRAS FORMAS DE LEPRA,24.0,2.0,23.0,47.0,13.0
A309,"LEPRA, NO ESPECIFICADA",24.0,2.0,23.0,47.0,13.0
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,24.0,11.0,38.0,80.0,13.0
A311,INFECCION CUTANEA POR MICOBACTERIAS,24.0,10.0,23.0,47.0,13.0
A318,OTRAS INFECCIONES POR MICOBACTERIAS,24.0,10.0,23.0,47.0,13.0
A319,"INFECCION POR MICOBACTERIA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A320,LISTERIOSIS CUTANEA,24.0,10.0,23.0,47.0,13.0
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,24.0,10.0,23.0,47.0,13.0
A327,SEPTICEMIA LISTERIANA,24.0,10.0,23.0,47.0,13.0
A328,OTRAS FORMAS DE LISTERIOSIS,24.0,10.0,23.0,47.0,13.0
A329,"LISTERIOSIS, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A33X,TETANOS NEONATAL,24.0,10.0,23.0,47.0,13.0
A34X,TETANOS OBSTETRICO,24.0,10.0,23.0,47.0,13.0
A35X,OTROS TETANOS,24.0,10.0,23.0,47.0,13.0
A360,DIFTERIA FARINGEA,24.0,10.0,23.0,47.0,13.0
A361,DIFTERIA NASOFARINGEA,24.0,10.0,23.0,47.0,13.0
A362,DIFTERIA LARINGEA,24.0,10.0,23.0,47.0,13.0
A363,DIFTERIA CUTANEA,24.0,10.0,23.0,47.0,13.0
A368,OTRAS DIFTERIAS,24.0,10.0,23.0,47.0,13.0
A369,"DIFTERIA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,24.0,10.0,23.0,47.0,13.0
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,24.0,10.0,23.0,47.0,13.0
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,24.0,10.0,23.0,47.0,13.0
A379,"TOS FERINA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A38X,ESCARLATINA,24.0,2.0,23.0,47.0,13.0
A390,MENINGITIS MENINGOCOCICA (G01*),24.0,7.0,24.0,48.0,13.0
A391,SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*),24.0,10.0,23.0,47.0,13.0
A392,MENINGOCOCEMIA AGUDA,24.0,10.0,23.0,47.0,13.0
A393,MENINGOCOCEMIA CRONICA,24.0,10.0,23.0,47.0,13.0
A394,"MENINGOCOCEMIA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A395,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO,24.0,1.0,24.0,22.0,13.0
A398,OTRAS INFECCIONES MENINGOCOCICAS,24.0,10.0,23.0,47.0,13.0
A399,"INFECCION MENINGOCOCICA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A400,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A",24.0,10.0,23.0,47.0,13.0
A401,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B",24.0,10.0,23.0,47.0,13.0
A402,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D",24.0,10.0,23.0,47.0,13.0
A403,SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE,24.0,10.0,23.0,47.0,13.0
A408,OTRAS SEPTICEMIAS ESTREPTOCOCICAS,24.0,10.0,23.0,47.0,13.0
A409,"SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A410,SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS,24.0,10.0,23.0,47.0,13.0
A411,SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,24.0,10.0,23.0,47.0,13.0
A412,SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,24.0,10.0,23.0,47.0,13.0
A413,SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE,24.0,10.0,23.0,47.0,13.0
A414,SEPTICEMIA DEBIDA A ANAEROBIOS,24.0,10.0,23.0,47.0,13.0
A415,SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,24.0,10.0,23.0,47.0,13.0
A418,OTRAS SEPTICEMIAS ESPECIFICADAS,24.0,10.0,23.0,47.0,13.0
A419,"SEPTICEMIA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A420,ACTINOMICOSIS PULMONAR,24.0,10.0,38.0,80.0,13.0
A421,ACTINOMICOSIS ABDOMINAL,24.0,10.0,23.0,47.0,13.0
A422,ACTINOMICOSIS CERVICOFACIAL,24.0,10.0,23.0,47.0,13.0
A427,SEPTICEMIA ACTINOMICOTICA,24.0,10.0,23.0,47.0,13.0
A428,OTRAS FORMAS DE ACTINOMICOSIS,24.0,10.0,23.0,47.0,13.0
A429,"ACTINOMICOSIS, SIN OTRA ESPECIFICACION",24.0,10.0,23.0,47.0,13.0
A430,NOCARDIOSIS PULMONAR,24.0,10.0,38.0,80.0,13.0
A431,NOCARDIOSIS CUTANEA,24.0,10.0,23.0,47.0,13.0
A438,OTRAS FORMAS DE NOCARDIOSIS,24.0,10.0,23.0,47.0,13.0
A439,"NORCARDIOSIS , NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A440,BARTONELOSIS SISTEMICA,24.0,10.0,23.0,47.0,13.0
A441,BARTONELOSIS CUTANEA Y MUCOCUTANEA,24.0,10.0,23.0,47.0,13.0
A448,OTRAS FORMAS DE BARTONELOSIS,24.0,10.0,23.0,47.0,13.0
A449,"BARTONELOSIS, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A46X,ERISIPELA,24.0,2.0,36.0,75.0,13.0
A480,GANGRENA GASEOSA,24.0,2.0,23.0,47.0,13.0
A481,ENFERMEDAD DE LOS LEGIONARIOS,24.0,10.0,23.0,47.0,13.0
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC],24.0,10.0,23.0,47.0,13.0
A483,SINDROME DE CHOQUE TOXICO,24.0,10.0,23.0,47.0,13.0
A484,FIEBRE PURPURICA BRASILEÑA,24.0,10.0,23.0,47.0,13.0
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,24.0,10.0,23.0,47.0,13.0
A490,"INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN",24.0,10.0,23.0,47.0,13.0
A491,"INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION",24.0,10.0,23.0,47.0,13.0
A492,"INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION",24.0,10.0,23.0,47.0,13.0
A493,"INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION",24.0,10.0,23.0,47.0,13.0
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,24.0,10.0,23.0,47.0,13.0
A499,"INFECCION BACTERIANA, NO ESPECIFICADA",24.0,10.0,23.0,47.0,13.0
A500,"SIFILIS CONGENITA PRECOZ, SINTOMATICA",18.0,10.0,12.0,47.0,13.0
A501,"SIFILIS CONGENITA PRECOZ, LATENTE",18.0,10.0,12.0,47.0,13.0
A502,SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN,18.0,10.0,12.0,47.0,13.0
A503,OCULOPATIA SIFILITICA CONGENITA TARDIA,18.0,10.0,12.0,47.0,13.0
A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL],18.0,10.0,12.0,47.0,13.0
A505,"OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA",18.0,10.0,12.0,47.0,13.0
A506,"SIFILIS CONGENITA TARDIA, LATENTE",18.0,10.0,12.0,47.0,13.0
A507,"SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION",18.0,10.0,12.0,47.0,13.0
A509,"SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN",18.0,10.0,12.0,47.0,13.0
A510,SIFILIS GENITAL PRIMARIA,18.0,10.0,12.0,47.0,13.0
A511,SIFILIS PRIMARIA ANAL,18.0,10.0,12.0,47.0,13.0
A512,SIFILIS PRIMARIA EN OTROS SITIOS,18.0,10.0,12.0,47.0,13.0
A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,18.0,10.0,36.0,32.0,13.0
A514,OTRAS SIFILIS SECUNDARIAS,18.0,10.0,12.0,47.0,13.0
A515,"SIFILIS PRECOZ, LATENTE",18.0,10.0,12.0,47.0,13.0
A519,"SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN",18.0,10.0,12.0,47.0,13.0
A520,SIFILIS CARDIOVASCULAR,18.0,10.0,12.0,47.0,13.0
A521,NEUROSIFILIS SINTOMATICA,18.0,10.0,12.0,47.0,13.0
A522,NEUROSIFILIS ASINTOMATICA,18.0,10.0,12.0,47.0,13.0
A523,NEUROSIFILIS NO ESPECIFICADA,18.0,10.0,12.0,47.0,13.0
A527,OTRAS SIFILIS TARDIAS SINTOMATICAS,18.0,10.0,12.0,47.0,13.0
A528,"SIFILIS TARDIA, LATENTE",18.0,10.0,12.0,47.0,13.0
A529,"SIFILIS TARDIA, NO ESPECIFICADA",18.0,10.0,12.0,47.0,13.0
A530,"SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA",18.0,10.0,12.0,47.0,13.0
A539,"SIFILIS, NO ESPECIFICADA",18.0,10.0,12.0,47.0,13.0
A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA,18.0,10.0,12.0,47.0,13.0
A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS,18.0,10.0,12.0,47.0,13.0
A542,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS,18.0,10.0,12.0,47.0,13.0
A543,INFECCION GONOCOCICA DEL OJO,18.0,10.0,12.0,47.0,13.0
A544,INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR,18.0,10.0,12.0,47.0,13.0
A545,FARINGITIS GONOCOCICA,24.0,11.0,16.0,24.0,13.0
A546,INFECCION GONOCOCICA DEL ANO Y DEL RECTO,18.0,10.0,12.0,47.0,13.0
A548,OTRAS INFECCIONES GONOCOCICAS,18.0,10.0,12.0,47.0,13.0
A549,"INFECCION, GONOCOCICA, NO ESPECIFICADA",18.0,10.0,12.0,47.0,13.0
A55X,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS,18.0,10.0,12.0,47.0,13.0
A560,INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS,18.0,10.0,12.0,47.0,13.0
A561,INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS,18.0,10.0,12.0,47.0,13.0
A562,"INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION",18.0,10.0,12.0,47.0,13.0
A563,INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS,18.0,10.0,12.0,47.0,13.0
A564,INFECCION DE FARINGE DEBIDA A CLAMIDIAS,18.0,10.0,12.0,47.0,13.0
A568,INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS,18.0,10.0,12.0,47.0,13.0
A57X,CHANCRO BLANDO,18.0,10.0,12.0,47.0,13.0
A58X,GRANULOMA INGUINAL,18.0,10.0,12.0,47.0,13.0
A590,TRICOMONIASIS UROGENITAL,18.0,10.0,12.0,47.0,13.0
